Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
IN,KL,,,2.5000,2.5% CGST,1,0,0,
IN,KL,,,2.5000,2.5% SGST,2,0,0,
IN,AN,,,5.0000,5% IGST,3,0,0,
IN,AP,,,5.0000,5% IGST,3,0,0,
IN,AR,,,5.0000,5% IGST,3,0,0,
IN,AS,,,5.0000,5% IGST,3,0,0,
IN,BR,,,5.0000,5% IGST,3,0,0,
IN,CH,,,5.0000,5% IGST,3,0,0,
IN,CT,,,5.0000,5% IGST,3,0,0,
IN,DD,,,5.0000,5% IGST,3,0,0,
IN,DL,,,5.0000,5% IGST,3,0,0,
IN,DN,,,5.0000,5% IGST,3,0,0,
IN,GA,,,5.0000,5% IGST,3,0,0,
IN,GJ,,,5.0000,5% IGST,3,0,0,
IN,HP,,,5.0000,5% IGST,3,0,0,
IN,HR,,,5.0000,5% IGST,3,0,0,
IN,JH,,,5.0000,5% IGST,3,0,0,
IN,JK,,,5.0000,5% IGST,3,0,0,
IN,KA,,,5.0000,5% IGST,3,0,0,
IN,LD,,,5.0000,5% IGST,3,0,0,
IN,MH,,,5.0000,5% IGST,3,0,0,
IN,ML,,,5.0000,5% IGST,3,0,0,
IN,MN,,,5.0000,5% IGST,3,0,0,
IN,MP,,,5.0000,5% IGST,3,0,0,
IN,MZ,,,5.0000,5% IGST,3,0,0,
IN,NL,,,5.0000,5% IGST,3,0,0,
IN,OR,,,5.0000,5% IGST,3,0,0,
IN,PB,,,5.0000,5% IGST,3,0,0,
IN,PY,,,5.0000,5% IGST,3,0,0,
IN,RJ,,,5.0000,5% IGST,3,0,0,
IN,SK,,,5.0000,5% IGST,3,0,0,
IN,TG,,,5.0000,5% IGST,3,0,0,
IN,TN,,,5.0000,5% IGST,3,0,0,
IN,TR,,,5.0000,5% IGST,3,0,0,
IN,TS,,,5.0000,5% IGST,3,0,0,
IN,UK,,,5.0000,5% IGST,3,0,0,
IN,UP,,,5.0000,5% IGST,3,0,0,
IN,WB,,,5.0000,5% IGST,3,0,0,
